Date,Close/Last,Volume,Open,High,Low,Log_Returns,Rolling_Volatility
2014-05-06,21.23,373872650,21.49,21.59,21.23,,
2014-05-07,21.15,282128727,21.26,21.33,20.99,-0.0037753702228778565,
2014-05-08,21.0,228973884,21.01,21.23,20.94,-0.0071174677688638785,
2014-05-09,20.91,291068564,20.88,20.94,20.73,-0.004294924282880729,
2014-05-12,21.17,212736019,20.98,21.2,20.98,0.012357571706231595,
2014-05-13,21.21,159417936,21.14,21.23,21.1,0.0018876834298171916,0.007737141035629651
2014-05-14,21.21,166020698,21.16,21.34,21.13,0.0,0.007479515803036218
2014-05-15,21.03,229710816,21.24,21.31,21.0,-0.008522778861982626,0.007857313160271311
2014-05-16,21.34,275840350,21.02,21.34,20.91,0.014633256158998858,0.009489095109304298
2014-05-19,21.59,315279314,21.35,21.69,21.33,0.011646998653108677,0.00933808618359769
2014-05-20,21.6,232929331,21.59,21.66,21.45,0.0004630701634033193,0.009437151275833241
2014-05-21,21.65,196739793,21.57,21.67,21.5,0.0023121397583793788,0.009269097979122313
2014-05-22,21.69,200570528,21.66,21.78,21.58,0.0018458703902843525,0.006476378669544535
2014-05-23,21.93,231673307,21.69,21.95,21.66,0.011004237591013778,0.005407347645866594
2014-05-27,22.34,347361701,22.0,22.35,21.99,0.018523231211257728,0.0077451003847360846
2014-05-28,22.29,315174594,22.36,22.49,22.28,-0.0022406462432772467,0.008369909826428736
2014-05-29,22.69,374950650,22.42,22.75,22.42,0.017786151393972948,0.009336790977880278
2014-05-30,22.61,563440415,22.79,23.01,22.46,-0.003532012501871944,0.010640909654713909
2014-06-02,22.45,368718413,22.64,22.67,22.23,-0.007101672101615164,0.0124252394370329
2014-06-03,22.77,292173443,22.45,22.81,22.44,0.014153265887385007,0.011312559028314377
2014-06-04,23.03,334940906,22.77,23.14,22.72,0.01135383375694571,0.011125995019310652
2014-06-05,23.12,303186119,23.08,23.19,22.95,0.0039003299715828724,0.009176807842879258
2014-06-06,23.06,349612060,23.21,23.26,23.02,-0.002598528963263849,0.008999280222965634
2014-06-09,23.43,301181800,23.18,23.47,22.94,0.015917737678791295,0.007737096534055648
2014-06-10,23.56,250252280,23.68,23.76,23.39,0.005533106263681607,0.007110093659865553
2014-06-11,23.47,182114960,23.53,23.69,23.37,-0.0038273489204538194,0.00788938841400058
2014-06-12,23.07,218514600,23.51,23.53,22.98,-0.017189937677269746,0.012246909071215156
2014-06-13,22.82,217626560,23.05,23.11,22.72,-0.01089572775173268,0.013143036903226057
2014-06-16,23.05,141485840,22.88,23.19,22.86,0.010028425008728043,0.011253552924124464
2014-06-17,23.02,118738480,23.08,23.18,22.95,-0.0013023661489210054,0.010290747362472482
2014-06-18,23.05,133258880,23.07,23.07,22.84,0.0013023661489209302,0.010641424688411902
2014-06-19,22.97,141904320,23.07,23.08,22.83,-0.0034767527416506693,0.007599212995157668
2014-06-20,22.73,401914400,22.96,23.14,22.73,-0.010503378836555015,0.007470729599174183
2014-06-23,22.71,174446840,22.83,22.91,22.65,-0.0008802817469847037,0.004538986971160316
